City,State/Province,Total Donation Amount,Average Donation Amount,Number of Donations
Madison,WI,31030.06,646.4595833333334,48
Unknown,Unknown,19737.85,234.97440476190474,84
Sun Prairie,WI,7746.1900000000005,774.619,10
Cambridge,WI,3886.21,134.00724137931036,29
Middleton,WI,2636.9,263.69,10
Verona,WI,1621.03,81.0515,20
Waunakee,WI,818.15,409.075,2
Lodi,WI,621.78,310.89,2
Mcfarland,WI,611.4300000000001,87.34714285714287,7
Fall River,WI,518.15,129.5375,4
Fitchburg,WI,414.52,69.08666666666666,6
West Bend,WI,310.89,310.89,1
Deforest,WI,259.07,259.07,1
Green Bay,WI,229.54,76.51333333333334,3
Chicago,IL,150.0,75.0,2
Cottage Grove,WI,129.54,129.54,1
Oregon,WI,25.0,25.0,1
